,Activation Function,nLayer,nHiddenNeuron,N Iteration,Loss,RMSE,RelErr,Pearson Corr,Time Elapsed
135,relu,8,1,14,9.111015164575309e-06,0.003641394208528334,1.0001806458614586,,0.5823240280151367
136,relu,8,2,35,0.00037421356915868094,0.02593332169622502,50.72935574669699,-0.004691043495402871,1.4633920192718506
137,relu,8,3,43,2.1889400072580574e-05,0.005134519859689489,1.9885784472618449,-4.9390014171040164e-17,1.8881988525390625
138,relu,8,4,18,2.0530933613954245e-05,0.00464308803461568,1.6261360893830077,0.016546736889553822,0.8140168190002441
139,relu,8,5,14,1.5972973805953236e-05,0.0038213576196568285,1.1014845698651294,0.014156668935510748,0.6470940113067627
140,relu,9,1,28,8.740063168917499e-06,0.003641087942976745,1.0000124092038285,,1.2836358547210693
141,relu,9,2,13,1.2924141783655909e-05,0.0036860152671513166,1.0248429349098984,-5.489083183163693e-06,0.6152079105377197
142,relu,9,3,13,1.9750289046173022e-05,0.004812664246471227,1.7470855866878643,0.0030059118739941626,0.6410400867462158
143,relu,9,4,22,1.8005433691273728e-05,0.004263786729765415,1.3713048098932825,-0.019784778326504333,1.0923898220062256
144,relu,9,5,14,1.7637782658916443e-05,0.003907564186085287,1.1517422355772107,0.020333661451316144,0.7214739322662354
145,relu,10,1,27,8.828360953212404e-06,0.0036411160248108598,1.0000278344236087,-4.9390014171040164e-17,1.3799591064453125
146,relu,10,2,50,1.4462463116670536e-05,0.00480618640713269,1.742385602396292,4.9390014171040164e-17,2.6223790645599365
147,relu,10,3,58,2.244464211197962e-05,0.005261515933838052,2.0881650951071107,-4.9390014171040164e-17,3.199587106704712
148,relu,10,4,28,8.478150973826793e-06,0.0036539057855696513,1.007065555775018,4.9390014171040164e-17,1.5257079601287842
149,relu,10,5,15,1.5920917258494484e-05,0.0036457950093031033,1.0025996399497314,0.0180755340274746,0.8385891914367676
